transformer_id,date,h2,ch4,c2h4,c2h6,c2h2,co,co2,oil_temp,load_current,ambient_temp,fault_state
1,2024-04-20,1.966,0.483,43.395,146.189,0.0,2034.496,1152.835,32.84,186.83,-1.19,Thermal Fault 150-300℃
1,2024-04-21,5.169,4.524,34.209,284.447,0.0,998.316,787.331,37.51,207.17,3.34,Thermal Fault 150-300℃
1,2024-04-22,10.032,4.865,30.169,424.479,0.921,510.021,1469.8,37.46,207.77,-0.99,Thermal Fault 150-300℃
1,2024-04-23,1.908,0.665,22.624,327.12,1.294,302.337,661.756,34.15,200.93,-3.66,Thermal Fault 150-300℃
1,2024-04-24,1.642,0.778,7.224,143.236,1.784,845.878,729.922,35.33,213.68,2.76,Thermal Fault 150-300℃
1,2024-04-25,1.503,1.912,25.177,143.257,0.744,526.069,811.022,31.13,137.72,-2.02,Thermal Fault 150-300℃
1,2024-04-26,10.874,0.258,5.086,96.031,0.185,435.594,1407.123,31.46,148.65,1.82,Thermal Fault 150-300℃
1,2024-04-27,20.539,0.267,5.196,137.373,0.57,109.401,667.425,39.42,211.19,2.2,Thermal Fault 150-300℃
1,2024-04-28,83.819,0.399,6.043,121.115,0.444,74.607,2438.948,33.26,210.33,-0.78,Thermal Fault 150-300℃
1,2024-04-29,83.442,0.333,17.099,44.626,0.766,355.195,1339.88,34.5,200.59,1.24,Thermal Fault 150-300℃
1,2024-04-30,117.412,0.0,12.797,38.86,2.353,631.004,2605.186,33.31,203.47,0.81,Normal
1,2024-05-01,102.605,0.0,9.054,9.373,2.994,635.555,3374.267,34.85,199.12,5.55,Normal
1,2024-05-02,59.427,0.0,6.386,7.645,3.2,547.817,3004.9,32.32,130.25,2.93,Normal
1,2024-05-03,61.812,0.0,8.812,4.753,3.609,1027.185,1581.256,32.47,133.89,3.45,Normal
1,2024-05-04,74.936,0.114,14.689,0.772,1.732,632.986,1269.309,38.53,210.3,1.8,Normal
1,2024-05-05,34.357,1.328,18.643,0.0,0.776,866.975,508.935,34.99,193.16,0.73,Normal
1,2024-05-06,29.976,0.276,19.923,0.0,0.964,704.001,359.834,34.71,188.59,0.73,Normal
1,2024-05-07,45.451,0.707,8.567,0.0,1.321,1136.782,832.144,35.37,199.36,0.98,Normal
1,2024-05-08,79.049,1.645,4.588,0.042,0.956,2453.924,509.004,31.29,189.5,-0.68,Normal
1,2024-05-09,54.525,4.45,3.2,0.0,0.857,2076.749,793.268,31.59,131.54,2.1,Normal
1,2024-05-10,31.85,4.424,5.861,0.0,1.695,2165.726,805.846,33.3,129.79,0.91,Normal
1,2024-05-11,30.493,3.556,7.703,0.0,2.57,1063.871,469.908,35.82,186.89,4.24,Normal
1,2024-05-12,25.526,4.102,3.101,0.0,1.598,1001.96,243.264,35.53,196.11,1.13,Normal
1,2024-05-13,33.355,3.0,7.327,0.0,1.585,776.336,244.982,34.23,198.88,2.05,Normal
1,2024-05-14,37.527,2.902,6.47,0.0,1.308,627.948,287.299,34.54,215.67,0.96,Normal
1,2024-05-15,48.169,3.383,8.63,0.0,1.163,948.511,269.929,33.02,186.59,0.63,Normal
1,2024-05-16,20.323,3.98,9.905,0.0,1.292,707.058,160.124,33.91,151.29,3.45,Normal
1,2024-05-17,13.383,4.391,8.122,0.0,0.0,768.337,174.373,34.59,150.49,1.84,Normal
1,2024-05-18,10.858,9.164,11.873,0.0,0.0,858.406,78.827,38.42,198.1,2.32,Normal
1,2024-05-19,9.42,5.923,14.326,0.0,0.0,1322.235,47.717,37.13,216.99,7.31,Normal
1,2024-05-20,4.592,2.849,18.498,0.0,0.0,1461.215,35.954,35.54,202.45,1.33,Normal
1,2024-05-21,3.275,3.732,14.717,0.0,0.0,758.97,52.573,37.06,203.12,3.28,Normal
1,2024-05-22,2.813,4.789,9.64,0.0,0.0,750.736,67.716,36.53,200.19,4.6,Normal
1,2024-05-23,1.668,3.942,5.285,0.0,0.0,959.536,93.168,31.62,135.53,3.36,Normal
1,2024-05-24,1.507,1.912,8.547,0.0,0.0,887.789,142.12,35.53,144.41,5.1,Normal
1,2024-05-25,3.249,2.842,12.036,0.0,0.031,1428.708,137.765,37.42,206.41,4.14,Normal
1,2024-05-26,5.198,6.223,12.63,0.0,2.101,708.167,116.883,35.92,216.46,7.33,Normal
1,2024-05-27,5.779,3.784,13.733,0.0,1.953,1110.746,105.8,38.7,192.87,5.58,Normal
1,2024-05-28,8.061,6.163,21.211,0.0,7.731,1760.456,186.81,35.6,191.08,2.11,Normal
1,2024-05-29,13.681,2.411,26.365,0.0,5.155,1026.36,126.227,35.92,177.74,4.77,Normal
1,2024-05-30,16.707,3.514,29.29,0.0,3.74,576.493,159.293,33.56,146.6,4.9,Normal
1,2024-05-31,7.462,2.467,10.185,0.0,1.13,359.492,71.541,31.51,145.72,3.23,Normal
1,2024-06-01,3.076,3.976,11.742,0.0,2.613,294.29,71.611,37.85,213.4,7.84,Normal
1,2024-06-02,0.764,3.56,11.859,0.0,2.316,295.036,110.358,41.12,216.65,10.17,Normal
1,2024-06-03,0.394,8.316,11.853,0.0,2.109,345.935,74.679,36.33,184.29,3.5,Normal
1,2024-06-04,1.995,6.682,11.99,0.0,2.548,261.925,41.419,37.09,216.42,4.81,Normal
1,2024-06-05,8.187,4.062,10.274,0.0,3.098,465.061,48.136,34.2,200.05,0.57,Normal
1,2024-06-06,4.851,5.37,15.549,0.0,0.852,508.809,44.559,30.61,137.07,2.35,Normal
1,2024-06-07,6.736,8.358,72.975,0.0,0.204,454.256,114.156,32.16,140.31,4.89,Partial Discharge (Low)
1,2024-06-08,33.982,1.703,58.53,0.0,0.0,1077.892,40.072,37.38,208.39,6.94,Partial Discharge (Low)
1,2024-06-09,10.801,10.324,12.31,0.484,0.0,1399.568,6.994,36.31,197.34,3.53,Partial Discharge (Low)
1,2024-06-10,10.462,33.72,5.429,1.028,0.0,1477.883,12.133,39.93,204.96,5.13,Partial Discharge (Low)
1,2024-06-11,8.552,29.959,5.556,0.0,0.0,1114.055,20.689,37.07,201.39,5.64,Normal
1,2024-06-12,4.702,21.706,7.75,0.144,0.0,517.521,25.014,39.35,187.31,10.38,Normal
1,2024-06-13,3.089,10.688,2.832,0.12,0.0,567.945,66.975,37.27,130.61,14.35,Normal
1,2024-06-14,1.71,3.347,1.016,0.0,0.0,400.429,111.062,34.8,136.67,8.98,Normal
1,2024-06-15,2.504,0.677,0.626,0.0,0.0,398.756,120.323,41.29,225.85,9.0,Normal
1,2024-06-16,4.304,0.46,0.927,0.0,0.0,239.757,157.484,36.49,206.81,7.26,Normal
1,2024-06-17,2.86,0.3,3.683,0.0,0.0,127.541,254.503,38.86,197.69,6.86,Normal
1,2024-06-18,2.952,0.0,2.387,0.0,0.0,100.672,324.607,38.83,196.15,7.62,Normal
1,2024-06-19,2.378,0.0,1.67,0.0,0.0,61.583,250.641,35.06,187.22,7.63,Normal
1,2024-06-20,0.878,0.0,3.209,0.0,0.0,73.207,440.46,37.09,138.1,9.92,Normal
1,2024-06-21,0.028,0.929,4.823,0.0,0.15,308.551,2377.382,36.2,149.85,14.21,Thermal Fault 300-700℃
1,2024-06-22,6.254,2.587,2.452,1.538,1.583,346.25,1179.254,37.59,197.34,11.26,Thermal Fault 300-700℃
1,2024-06-23,14.304,5.945,4.066,5.496,3.246,196.0,2669.762,41.4,221.2,9.95,Thermal Fault 300-700℃
1,2024-06-24,15.894,25.864,19.076,43.747,1.551,467.383,11447.967,42.25,211.09,13.32,Thermal Fault 300-700℃
1,2024-06-25,20.478,7.194,7.245,109.967,2.244,825.793,23183.598,41.03,182.74,12.52,Thermal Fault 300-700℃
1,2024-06-26,9.962,5.293,11.48,58.97,2.406,973.202,7773.993,38.21,191.29,9.93,Normal
1,2024-06-27,7.076,5.602,14.915,27.476,1.742,882.784,3364.813,37.29,156.71,12.53,Normal
1,2024-06-28,7.043,14.467,15.019,18.965,1.883,790.166,2827.68,39.3,141.26,11.68,Normal
1,2024-06-29,5.982,11.533,18.966,23.608,2.155,365.434,1686.84,38.17,206.41,8.75,Normal
1,2024-06-30,4.687,12.203,17.364,17.321,0.21,236.848,1143.313,38.92,202.98,13.12,Normal
1,2024-07-01,4.133,3.959,17.847,12.971,0.306,229.469,793.519,39.76,218.04,12.24,Normal
1,2024-07-02,2.592,0.928,16.685,7.477,0.0,260.122,513.799,41.25,199.86,14.81,Thermal Fault <300℃
1,2024-07-03,2.76,0.269,43.905,31.004,1.763,425.656,689.139,37.89,202.48,13.7,Thermal Fault <300℃
1,2024-07-04,1.571,0.0,33.091,36.488,0.303,855.144,683.793,31.8,139.26,9.43,Thermal Fault <300℃
1,2024-07-05,1.315,1.677,39.385,83.064,0.347,950.109,984.336,34.98,143.38,12.13,Thermal Fault <300℃
1,2024-07-06,9.434,0.0,53.88,25.299,0.19,661.664,2985.019,41.07,203.06,12.35,Thermal Fault <300℃
1,2024-07-07,9.413,0.58,192.02,23.561,0.0,414.975,4385.938,43.33,220.3,16.43,Thermal Fault <300℃
1,2024-07-08,6.516,1.584,64.453,48.134,0.0,152.852,3999.645,43.38,211.49,14.82,Thermal Fault <300℃
1,2024-07-09,7.597,6.93,25.453,41.354,0.0,500.989,5287.373,43.69,200.52,16.13,Thermal Fault <300℃
1,2024-07-10,8.992,5.256,11.297,60.813,0.366,447.452,4221.022,42.96,203.37,16.05,Thermal Fault <300℃
1,2024-07-11,6.815,4.63,6.413,137.783,0.403,544.574,2324.915,36.17,137.57,12.44,Normal
1,2024-07-12,7.158,2.395,9.284,60.294,0.0,528.999,1943.354,36.85,138.13,16.35,Normal
1,2024-07-13,4.851,1.692,8.926,47.068,0.0,359.994,1794.34,38.29,202.21,11.43,Normal
1,2024-07-14,8.913,1.868,4.13,51.342,0.145,181.283,1115.994,41.28,198.29,15.33,Normal
1,2024-07-15,4.589,1.758,1.464,75.605,0.0,120.793,733.622,42.16,192.75,18.14,Normal
1,2024-07-16,5.293,1.327,1.84,103.616,0.0,106.125,1212.446,46.32,210.2,20.08,Normal
1,2024-07-17,8.003,0.551,0.69,50.413,0.083,141.922,519.242,40.14,209.19,13.34,Normal
1,2024-07-18,5.173,0.734,0.698,94.118,0.766,99.983,1023.504,38.39,142.25,15.83,Normal
1,2024-07-19,8.411,0.374,0.461,61.537,0.992,77.778,1293.736,37.18,135.09,14.43,Normal
1,2024-07-20,6.639,0.238,0.0,49.175,0.0,175.41,805.829,43.31,214.93,16.25,Normal
1,2024-07-21,8.746,0.151,0.0,19.483,0.0,148.897,1252.649,40.3,185.26,18.77,Normal
1,2024-07-22,3.493,0.01,0.0,15.477,0.0,116.294,1690.744,44.69,209.57,18.67,Normal
1,2024-07-23,2.946,0.231,0.0,18.853,0.0,135.091,739.919,41.24,201.24,18.74,Normal
1,2024-07-24,6.546,0.095,0.0,28.604,0.0,151.497,634.183,41.61,207.04,16.68,Normal
1,2024-07-25,4.445,0.018,0.317,17.053,0.0,115.557,1417.178,35.73,144.7,15.1,Normal
1,2024-07-26,10.387,0.0,0.32,12.263,0.0,256.668,1183.996,39.64,138.37,19.42,Normal
1,2024-07-27,17.376,0.0,0.144,22.462,0.0,204.537,2371.922,45.02,224.65,18.71,Normal
1,2024-07-28,20.751,0.0,0.69,21.766,0.0,313.024,2530.115,45.12,235.37,20.15,Normal
1,2024-07-29,17.875,0.424,0.0,23.882,0.0,236.071,4863.079,42.18,197.48,19.46,Normal
1,2024-07-30,9.099,0.956,0.032,32.041,0.0,206.712,2399.064,43.87,208.0,21.33,Normal
1,2024-07-31,9.367,1.194,0.0,63.25,0.0,186.581,2083.455,43.62,201.82,18.82,Normal
1,2024-08-01,12.227,1.191,0.01,50.841,0.0,212.301,1882.54,41.14,140.35,18.2,Normal
1,2024-08-02,10.093,0.196,0.085,63.742,0.0,421.216,1906.966,38.23,151.19,18.96,Normal
1,2024-08-03,4.94,0.198,0.151,26.562,0.0,504.613,3401.646,40.7,205.73,18.01,Normal
1,2024-08-04,2.343,0.377,0.0,25.714,0.0,440.505,3284.479,46.09,197.25,23.46,Normal
1,2024-08-05,2.457,0.445,0.0,16.157,0.0,484.249,2151.253,46.59,208.93,22.85,Normal
1,2024-08-06,1.38,0.0,0.182,10.354,0.0,640.214,1575.63,45.11,186.57,22.74,Normal
1,2024-08-07,2.507,0.0,0.003,21.173,0.236,426.765,2580.581,42.97,208.83,19.22,Normal
1,2024-08-08,3.115,0.0,2.13,18.212,2.632,429.62,2195.655,40.88,136.17,20.95,Normal
1,2024-08-09,1.361,0.0,2.96,19.768,1.59,713.974,2710.136,38.78,146.36,21.09,Normal
1,2024-08-10,1.114,0.0,1.737,21.704,0.262,377.562,2234.21,45.28,195.44,21.74,Normal
1,2024-08-11,2.775,0.0,2.21,21.874,0.62,88.618,3244.321,44.46,223.39,21.86,Normal
1,2024-08-12,3.019,0.0,2.38,18.945,0.543,69.063,1355.859,46.24,209.82,22.29,Normal
1,2024-08-13,4.144,0.0,0.605,34.651,0.074,89.594,831.899,46.77,205.94,24.26,Normal
1,2024-08-14,8.056,0.0,0.262,39.897,0.0,85.196,788.918,45.4,238.2,20.62,Normal
1,2024-08-15,4.085,0.0,0.016,68.371,0.0,51.115,1025.796,41.47,152.7,21.42,Normal
1,2024-08-16,1.86,0.189,0.0,67.15,0.0,72.013,1249.965,41.78,145.99,24.82,Normal
1,2024-08-17,1.168,1.39,0.0,58.494,0.07,65.952,1168.344,44.19,212.54,23.32,Normal
1,2024-08-18,1.468,2.24,0.0,46.894,0.0,101.199,755.042,46.79,198.55,24.55,Normal
1,2024-08-19,2.272,0.97,0.0,25.472,0.0,60.017,820.105,43.21,224.92,23.3,Normal
1,2024-08-20,2.81,0.859,0.0,39.413,0.0,52.318,898.02,43.57,195.06,23.37,Normal
1,2024-08-21,1.066,1.304,0.0,25.529,0.375,50.665,1438.663,46.4,207.83,24.76,Normal
1,2024-08-22,1.895,0.761,0.0,30.444,0.052,46.42,2279.11,40.15,151.11,23.81,Normal
1,2024-08-23,2.186,0.715,0.0,48.089,0.0,74.4,1961.211,38.88,141.84,24.92,Normal
1,2024-08-24,2.535,0.045,0.0,57.066,0.0,137.242,1168.35,43.12,190.42,25.66,Normal
1,2024-08-25,4.146,0.0,0.0,24.726,0.0,111.03,4016.451,46.3,195.24,25.25,Normal
1,2024-08-26,3.845,0.0,0.583,25.276,0.0,71.539,3277.937,44.98,201.18,26.9,Normal
1,2024-08-27,6.377,0.0,0.046,19.273,0.0,157.168,8352.569,43.39,191.12,25.92,Normal
1,2024-08-28,12.665,0.0,0.0,23.955,0.0,91.835,2245.55,43.33,190.45,23.12,Normal
1,2024-08-29,9.937,0.0,1.532,91.399,0.0,41.115,2640.057,44.89,156.1,28.79,Discharge of Low Energy
1,2024-08-30,18.324,0.911,7.613,282.237,0.0,99.579,5555.319,41.21,139.15,24.6,Discharge of Low Energy
1,2024-08-31,19.334,7.109,7.481,150.195,0.0,164.056,5226.936,46.67,188.53,25.74,Discharge of Low Energy
1,2024-09-01,8.333,5.676,8.197,135.389,0.067,409.609,3878.297,48.84,196.39,32.17,Discharge of Low Energy
1,2024-09-02,6.87,6.287,4.471,615.96,1.165,215.992,4750.405,48.3,178.42,29.1,Discharge of Low Energy
1,2024-09-03,25.694,8.862,6.775,1041.484,1.935,114.199,1623.631,45.74,191.9,27.72,Discharge of Low Energy
1,2024-09-04,59.215,10.722,21.514,1938.386,1.822,94.798,710.826,44.47,196.25,25.17,Discharge of Low Energy
1,2024-09-05,41.581,14.373,29.132,1482.9,0.0,64.245,137.379,42.97,144.46,30.05,Discharge of Low Energy
1,2024-09-06,60.196,22.051,14.275,381.735,2.56,123.857,43.899,41.98,152.77,26.91,Discharge of Low Energy
1,2024-09-07,62.252,26.914,169.344,126.493,1.71,217.095,258.043,44.93,216.01,25.76,Discharge of Low Energy
1,2024-09-08,40.585,25.163,68.631,76.869,1.904,259.862,365.055,46.15,204.09,27.82,Normal
1,2024-09-09,12.508,18.008,35.615,81.383,0.272,300.314,212.466,47.87,205.22,30.56,Normal
1,2024-09-10,12.294,13.375,36.846,52.284,1.521,377.255,188.91,44.69,195.97,28.09,Normal
1,2024-09-11,5.301,13.664,34.854,22.021,1.972,545.207,126.931,47.35,201.86,27.89,Normal
1,2024-09-12,3.738,10.986,32.491,24.078,3.569,318.248,103.216,40.1,135.62,26.23,Normal
1,2024-09-13,2.836,8.783,49.924,19.518,2.313,153.035,140.102,46.08,142.06,30.77,Normal
1,2024-09-14,3.507,5.586,31.706,11.112,3.438,187.245,177.082,43.1,194.66,27.85,Normal
1,2024-09-15,3.039,2.685,22.982,14.1,3.304,227.471,95.568,45.73,207.66,25.79,Normal
1,2024-09-16,1.242,2.264,20.679,30.115,2.435,511.768,159.483,47.54,198.48,30.82,Normal
1,2024-09-17,0.162,1.461,11.458,31.835,1.885,785.112,84.158,45.14,206.8,26.76,Normal
1,2024-09-18,0.0,1.168,12.563,12.958,1.252,584.818,70.82,45.88,196.21,29.44,Normal
1,2024-09-19,0.883,0.062,9.109,10.129,2.007,405.367,216.852,43.84,133.88,28.94,Normal
1,2024-09-20,0.351,0.302,7.743,8.613,2.154,600.796,239.102,43.24,135.01,29.0,Normal
1,2024-09-21,0.001,0.737,17.248,11.766,2.241,402.643,484.831,44.05,187.15,29.06,Normal
1,2024-09-22,0.0,0.74,17.874,7.767,1.183,329.748,484.569,49.45,189.11,33.25,Normal
1,2024-09-23,0.0,0.0,15.097,12.269,0.601,316.009,295.257,44.47,198.12,28.43,Normal
1,2024-09-24,0.482,0.0,9.261,7.696,0.0,444.886,210.291,48.11,192.67,31.99,Normal
1,2024-09-25,1.076,0.0,3.409,7.215,0.0,360.037,158.48,44.83,209.5,29.2,Normal
1,2024-09-26,0.321,0.0,1.336,3.533,0.0,405.192,123.721,47.3,136.07,29.95,Normal
1,2024-09-27,0.0,0.625,1.641,3.366,0.226,450.288,320.522,40.83,132.49,26.39,Normal
1,2024-09-28,0.664,0.707,3.817,2.411,0.228,604.182,280.5,45.43,176.28,32.09,Normal
1,2024-09-29,1.482,0.925,5.149,2.128,2.222,333.527,215.203,45.34,201.45,30.8,Normal
1,2024-09-30,3.373,0.433,2.578,1.994,5.003,526.58,186.434,46.37,194.52,28.6,Normal
1,2024-10-01,2.245,0.0,3.064,0.685,3.043,480.177,194.451,45.37,174.81,32.6,Normal
1,2024-10-02,0.737,0.0,2.292,0.807,2.197,268.407,190.956,43.88,184.15,27.69,Normal
1,2024-10-03,0.372,0.872,2.617,2.233,1.871,204.781,591.405,43.99,136.9,33.56,Normal
1,2024-10-04,0.0,1.31,3.306,2.746,2.137,91.148,439.635,42.85,142.22,29.72,Normal
1,2024-10-05,0.31,2.21,3.365,1.616,0.303,60.918,197.1,44.98,189.06,30.01,Normal
1,2024-10-06,1.131,3.069,3.566,0.713,0.29,77.922,115.766,46.18,189.8,30.54,Normal
1,2024-10-07,1.196,5.937,1.468,0.639,0.303,200.043,191.346,50.37,185.66,32.07,Normal
1,2024-10-08,1.8,9.38,1.427,0.808,0.0,166.61,211.086,48.0,198.94,30.77,Normal
1,2024-10-09,0.985,5.083,4.005,3.288,0.901,150.594,127.895,44.16,192.16,30.66,Normal
1,2024-10-10,1.866,5.147,0.814,1.296,1.737,207.57,144.347,42.43,134.39,32.32,Normal
1,2024-10-11,5.275,3.227,0.229,2.91,2.254,239.033,80.011,43.69,136.56,31.0,Normal
1,2024-10-12,2.176,2.682,0.833,4.353,1.839,179.561,117.679,45.34,196.76,30.85,Normal
1,2024-10-13,2.722,4.199,1.293,6.811,2.404,144.347,182.567,49.63,201.2,29.45,Normal
1,2024-10-14,4.667,7.121,1.417,7.219,3.159,181.114,240.549,44.78,192.0,29.23,Normal
1,2024-10-15,5.127,8.191,2.151,6.141,5.177,139.25,199.278,48.59,196.78,31.26,Normal
1,2024-10-16,3.895,7.735,1.404,3.251,8.33,286.33,82.63,48.24,197.89,31.05,Normal
1,2024-10-17,3.158,20.43,1.129,2.416,11.735,149.856,96.59,44.55,140.46,29.96,Normal
1,2024-10-18,1.713,8.51,0.967,0.832,6.496,55.603,77.572,41.35,136.35,26.78,Normal
1,2024-10-19,2.137,9.838,0.168,0.307,6.424,52.036,70.364,45.14,178.33,28.07,Normal
1,2024-10-20,4.664,3.301,1.914,0.075,3.555,42.475,107.354,46.44,182.45,26.84,Partial Discharge (Low)
1,2024-10-21,6.754,1.472,1.243,0.066,1.859,33.489,194.288,44.41,178.15,30.07,Normal
1,2024-10-22,8.903,2.578,1.414,1.075,1.383,50.747,257.218,47.0,200.3,28.8,Normal
1,2024-10-23,18.309,0.928,1.519,1.585,1.947,62.657,293.18,45.93,179.25,31.27,Normal
1,2024-10-24,16.23,1.081,1.648,3.796,3.022,93.139,366.902,42.13,135.58,28.46,Normal
1,2024-10-25,12.902,0.788,0.785,3.326,1.671,89.699,366.061,43.64,120.98,29.51,Normal
1,2024-10-26,16.527,1.228,1.148,3.092,1.572,131.276,325.319,43.4,180.14,27.65,Normal
1,2024-10-27,12.906,2.224,0.114,5.867,0.259,109.777,749.425,47.59,192.4,30.23,Normal
1,2024-10-28,19.681,1.685,0.0,5.803,0.393,91.476,1051.369,40.73,178.69,27.2,Normal
1,2024-10-29,4.589,1.175,0.0,5.867,1.061,138.811,1335.905,48.03,189.82,30.22,Normal
1,2024-10-30,1.818,0.217,0.0,3.177,1.831,114.693,1456.592,47.19,192.46,32.37,Normal
1,2024-10-31,4.78,0.746,0.0,4.249,0.226,95.39,1454.843,45.2,139.98,31.56,Normal
1,2024-11-01,4.415,2.586,0.091,0.981,0.0,185.951,2471.465,44.6,126.79,28.88,Normal
1,2024-11-02,6.293,3.187,0.0,4.89,0.0,186.094,5158.598,44.45,184.33,27.18,Normal
1,2024-11-03,4.328,3.774,0.0,6.555,0.045,143.17,5951.978,44.66,186.78,26.94,Normal
1,2024-11-04,4.189,8.496,0.0,7.293,0.0,285.127,4328.541,47.68,174.25,34.01,Normal
1,2024-11-05,5.004,7.003,0.0,12.551,0.0,202.68,2542.438,43.54,185.03,27.04,Normal
1,2024-11-06,9.073,6.898,0.0,9.576,0.0,271.84,2129.481,48.77,185.8,30.02,Normal
1,2024-11-07,11.522,5.469,0.0,8.781,0.0,387.947,2608.748,43.62,138.61,28.63,Normal
1,2024-11-08,19.486,3.336,0.0,6.225,0.0,230.267,4284.38,43.57,132.59,28.95,Normal
1,2024-11-09,13.444,4.43,0.0,23.553,0.0,252.997,7095.465,48.73,198.03,29.91,Normal
1,2024-11-10,36.805,3.161,0.0,12.137,0.079,280.732,8520.218,46.01,201.54,26.76,Normal
1,2024-11-11,68.59,5.353,0.0,16.545,0.362,242.262,6603.27,45.55,171.43,26.44,Normal
1,2024-11-12,60.987,7.202,0.0,16.957,0.101,156.903,12311.599,46.92,199.87,29.78,Normal
1,2024-11-13,46.062,9.565,0.0,47.086,1.603,84.582,24243.552,44.8,179.68,29.37,Discharge of Low Energy
1,2024-11-14,41.192,23.689,0.698,83.915,0.855,45.884,6658.352,38.72,126.5,25.07,Discharge of Low Energy
1,2024-11-15,33.222,78.054,0.336,95.62,2.149,46.752,22435.717,41.12,127.86,24.12,Discharge of Low Energy
1,2024-11-16,17.492,59.181,24.663,85.926,6.38,32.494,28238.266,45.42,177.72,24.95,Discharge of Low Energy
1,2024-11-17,68.025,53.722,53.597,107.449,9.712,33.972,59982.368,44.68,173.86,28.09,Discharge of Low Energy
1,2024-11-18,25.865,120.565,167.868,193.692,8.853,19.57,27068.652,48.67,191.82,28.85,Discharge of Low Energy
1,2024-11-19,13.259,257.645,354.471,84.132,36.003,28.24,15767.442,43.72,190.49,22.62,Discharge of Low Energy
1,2024-11-20,6.175,346.054,259.739,297.908,40.945,17.082,8896.684,47.41,198.57,23.29,Discharge of Low Energy
1,2024-11-21,11.429,114.157,361.544,411.03,51.961,8.955,17767.307,42.08,142.24,23.87,Discharge of Low Energy
1,2024-11-22,42.113,202.226,312.802,347.531,30.016,11.282,5335.132,42.66,127.15,25.95,Discharge of Low Energy
1,2024-11-23,15.91,130.051,395.49,776.24,137.59,16.844,4816.952,45.77,182.42,28.02,Discharge of Low Energy
1,2024-11-24,34.503,73.754,1143.874,377.862,76.242,21.608,1656.503,45.65,185.76,27.19,Discharge of Low Energy
1,2024-11-25,7.702,89.197,1820.255,1137.359,438.378,15.848,3500.559,47.37,182.54,26.34,Discharge of Low Energy
1,2024-11-26,9.745,103.804,2073.27,2192.193,253.554,38.798,1330.909,43.77,170.07,25.81,Discharge of Low Energy
1,2024-11-27,34.981,60.835,1769.342,1773.366,143.193,42.564,678.356,43.84,202.35,28.17,Discharge of Low Energy
1,2024-11-28,20.984,58.77,641.807,1326.939,112.181,76.274,515.242,41.63,124.14,24.24,Normal
1,2024-11-29,12.964,49.452,485.951,767.391,69.157,30.558,844.602,40.57,135.1,24.76,Normal
1,2024-11-30,18.332,24.298,150.42,291.426,42.067,47.59,1674.998,44.25,182.97,23.43,Normal
1,2024-12-01,18.177,4.119,62.337,143.475,33.109,54.668,1852.143,46.28,197.44,25.9,Normal
1,2024-12-02,6.244,3.522,26.955,92.993,22.518,45.898,2422.979,43.52,179.09,23.34,Normal
1,2024-12-03,4.554,0.744,22.473,49.158,21.954,58.416,1660.038,46.05,186.78,27.57,Normal
1,2024-12-04,3.353,0.0,24.135,19.997,8.201,63.591,3183.205,45.24,185.86,24.33,Normal
1,2024-12-05,1.8,0.776,10.292,12.207,6.25,55.669,2757.92,39.06,124.33,20.07,Normal
1,2024-12-06,1.651,0.74,10.435,9.76,6.255,69.226,2133.83,39.79,126.36,22.08,Normal
