transformer_id,date,h2,ch4,c2h4,c2h6,c2h2,co,co2,fault_state
1,2024-05-06,1.213,27.185,10.645,11.382,0.0,128.41,1277.978,Normal
1,2024-05-07,1.635,30.14,11.547,8.579,0.041,154.364,1274.66,Normal
1,2024-05-08,1.257,29.412,12.446,10.334,0.039,166.688,1197.298,Normal
1,2024-05-09,1.282,28.731,10.941,11.814,0.073,184.745,985.09,Normal
1,2024-05-10,1.172,30.306,12.043,9.89,0.0,219.359,1426.443,Normal
1,2024-05-11,1.194,25.685,10.392,9.113,0.0,146.949,1093.073,Normal
1,2024-05-12,1.551,35.336,10.757,10.568,0.0,183.505,1115.841,Normal
1,2024-05-13,0.965,25.417,12.194,7.604,0.071,140.582,1209.221,Normal
1,2024-05-14,1.254,27.08,11.451,10.303,0.12,253.136,1363.455,Normal
1,2024-05-15,2.075,36.274,14.308,11.211,0.146,115.572,1546.112,Normal
1,2024-05-16,1.03,27.689,10.604,10.453,0.0,330.62,1405.239,Normal
1,2024-05-17,1.103,26.131,9.466,8.289,0.014,176.135,970.824,Normal
1,2024-05-18,1.234,27.96,10.107,8.947,0.0,240.11,1491.943,Normal
1,2024-05-19,0.891,25.42,10.376,9.152,0.03,71.712,987.823,Normal
1,2024-05-20,1.77,27.663,12.19,10.374,0.121,155.565,1572.026,Normal
1,2024-05-21,1.719,33.504,12.67,11.152,0.0,154.97,1101.429,Normal
1,2024-05-22,1.513,32.705,11.457,10.317,0.17,125.45,985.671,Normal
1,2024-05-23,9.224,99.525,130.641,27.72,1.776,230.526,897.425,放电
1,2024-05-24,17.657,268.628,142.424,24.535,1.688,164.917,1057.809,放电
1,2024-05-25,42.508,419.002,122.902,10.006,7.253,139.071,1223.008,放电
1,2024-05-26,102.124,619.14,326.84,28.145,39.341,110.713,1162.798,放电
1,2024-05-27,141.928,989.574,468.991,72.674,63.471,112.418,1465.818,放电
1,2024-05-28,31.298,126.465,53.401,4.759,19.728,155.06,1318.029,放电
1,2024-05-29,52.323,302.432,273.661,13.753,167.002,161.278,1036.126,放电
1,2024-05-30,42.125,87.67,75.39,7.96,191.421,297.242,728.063,放电
1,2024-05-31,78.781,68.036,93.814,11.322,92.235,377.129,666.418,放电
1,2024-06-01,62.773,32.293,42.31,13.454,67.596,373.324,804.235,放电
1,2024-06-02,233.999,74.187,44.17,64.63,89.77,488.893,949.061,放电
1,2024-06-03,220.003,103.103,195.757,317.891,192.961,438.532,1319.055,放电
1,2024-06-04,116.937,91.556,186.949,277.233,113.967,215.013,740.769,放电
1,2024-06-05,54.553,44.007,96.065,478.933,152.045,146.408,876.475,放电
1,2024-06-06,50.93,38.684,101.834,491.461,138.435,216.92,674.175,放电
1,2024-06-07,67.425,249.818,510.0,2169.221,314.588,255.147,724.712,放电
1,2024-06-08,74.02,143.276,415.845,700.378,586.47,350.204,864.721,放电
1,2024-06-09,72.894,176.49,412.23,1043.449,178.894,277.009,528.951,放电
1,2024-06-10,26.538,189.517,693.716,411.672,89.864,89.038,516.498,放电
1,2024-06-11,278.242,953.495,1730.336,1614.488,127.188,87.608,602.987,放电
1,2024-06-12,264.363,1204.56,2450.709,2202.087,137.668,132.331,1042.801,放电
1,2024-06-13,123.624,332.851,1690.182,752.961,381.661,116.522,1584.051,放电
1,2024-06-14,158.284,402.265,3769.644,606.917,439.107,104.343,1720.447,放电
1,2024-06-15,48.972,237.337,1527.091,624.409,55.608,84.184,1031.522,放电
1,2024-06-16,32.855,178.67,961.432,339.503,60.734,99.887,802.949,放电
1,2024-06-17,82.651,412.756,1991.345,749.932,187.663,221.501,833.884,放电
1,2024-06-18,0.125,14.929,2.742,2.433,0.0,197.883,1247.911,Normal
1,2024-06-19,1.482,28.719,11.988,8.195,0.039,170.83,941.311,Normal
1,2024-06-20,1.346,22.452,9.098,8.513,0.0,182.384,660.291,Normal
1,2024-06-21,1.016,23.484,7.842,7.51,0.0,104.054,1087.349,Normal
1,2024-06-22,1.459,31.238,10.215,8.858,0.012,98.289,872.231,Normal
1,2024-06-23,1.182,22.883,9.279,7.497,0.0,214.931,1103.848,Normal
1,2024-06-24,1.744,27.808,9.357,8.946,0.0,179.511,778.958,Normal
1,2024-06-25,1.398,24.207,9.243,6.563,0.0,119.104,932.005,Normal
1,2024-06-26,1.516,28.453,9.66,10.057,0.0,174.239,1371.36,Normal
1,2024-06-27,1.121,25.169,8.945,6.972,0.0,110.232,611.916,Normal
1,2024-06-28,1.874,37.679,12.572,8.317,0.0,158.021,1316.659,Normal
1,2024-06-29,0.946,23.046,9.024,6.296,0.0,337.276,1246.498,Normal
1,2024-06-30,1.311,25.385,9.697,6.668,0.0,121.702,1987.903,Normal
1,2024-07-01,1.277,29.883,9.659,9.139,0.0,125.913,1149.586,Normal
1,2024-07-02,1.7,26.983,8.668,8.139,0.0,150.841,1195.43,Normal
1,2024-07-03,0.834,19.074,7.818,6.053,0.0,217.151,1305.999,Normal
1,2024-07-04,1.234,22.875,9.027,7.72,0.086,177.375,1323.988,Normal
1,2024-07-05,1.294,28.202,10.581,9.255,0.0,136.26,1043.012,Normal
1,2024-07-06,1.562,31.221,10.56,8.252,0.0,153.668,1614.632,Normal
1,2024-07-07,0.735,19.047,6.907,4.89,0.0,118.213,1081.168,Normal
1,2024-07-08,1.817,29.479,9.778,9.152,0.023,121.916,965.847,Normal
1,2024-07-09,1.391,25.859,10.117,7.902,0.0,118.641,1261.42,Normal
1,2024-07-10,1.251,22.673,7.31,7.798,0.0,119.834,1168.79,Normal
1,2024-07-11,1.679,23.58,7.928,6.953,0.0,190.221,1500.95,Normal
1,2024-07-12,0.967,21.548,8.591,7.103,0.0,146.745,1249.844,Normal
1,2024-07-13,1.448,29.217,11.056,7.143,0.0,235.816,1660.353,Normal
1,2024-07-14,1.032,19.438,7.411,7.538,0.0,180.53,1026.381,Normal
1,2024-07-15,1.142,25.423,9.098,6.663,0.0,298.727,1702.947,Normal
1,2024-07-16,1.112,26.018,10.071,8.304,0.0,179.616,1381.811,Normal
1,2024-07-17,1.557,28.125,8.634,8.275,0.0,100.601,1861.4,Normal
1,2024-07-18,1.809,33.343,12.291,10.819,0.0,191.465,824.301,Normal
1,2024-07-19,1.346,25.55,8.299,7.521,0.0,296.541,1665.992,Normal
1,2024-07-20,1.322,26.558,9.932,7.876,0.0,136.003,926.352,Normal
1,2024-07-21,0.997,24.294,9.224,6.081,0.0,238.906,1702.276,Normal
1,2024-07-22,1.71,28.638,9.535,7.956,0.0,171.505,1603.734,Normal
1,2024-07-23,1.573,27.444,9.087,8.135,0.0,149.055,977.151,Normal
1,2024-07-24,1.347,24.902,8.842,8.016,0.0,179.642,1360.037,Normal
1,2024-07-25,1.02,22.633,9.601,6.28,0.0,81.715,1191.241,Normal
1,2024-07-26,1.398,26.336,10.343,6.233,0.003,323.094,892.932,Normal
1,2024-07-27,1.205,23.259,7.898,7.443,0.0,270.89,1173.32,Normal
1,2024-07-28,1.955,31.077,12.912,9.187,0.036,166.422,2889.55,Normal
1,2024-07-29,1.454,25.058,9.65,7.626,0.0,222.491,1025.066,Normal
1,2024-07-30,1.376,26.674,9.877,8.476,0.0,192.658,957.403,Normal
1,2024-07-31,0.942,22.641,8.49,6.451,0.0,97.011,1134.942,Normal
1,2024-08-01,1.243,25.175,9.453,7.048,0.0,183.513,732.336,Normal
1,2024-08-02,0.846,22.024,8.081,6.86,0.0,171.194,1730.821,Normal
1,2024-08-03,1.127,21.791,7.497,7.227,0.0,137.43,570.081,Normal
1,2024-08-04,0.924,21.443,7.847,6.471,0.0,149.847,1870.663,Normal
1,2024-08-05,1.223,23.397,9.098,6.376,0.0,170.65,1065.233,Normal
1,2024-08-06,1.84,28.437,11.987,8.876,0.0,164.354,926.022,Normal
1,2024-08-07,1.038,24.722,9.236,6.951,0.0,243.642,1886.238,Normal
1,2024-08-08,1.542,30.968,9.375,8.537,0.0,155.748,947.597,Normal
1,2024-08-09,4.649,61.898,27.856,34.573,1.967,174.895,1153.977,过热
1,2024-08-10,3.145,53.6,49.414,51.347,1.614,236.845,1328.171,过热
1,2024-08-11,20.185,214.282,134.379,154.795,0.0,256.29,485.232,过热
1,2024-08-12,7.035,156.775,150.07,45.332,0.0,388.915,487.814,过热
1,2024-08-13,85.165,780.061,679.109,465.384,0.553,239.083,542.604,过热
1,2024-08-14,102.19,392.923,353.449,190.716,1.536,228.321,566.638,过热
1,2024-08-15,112.631,548.2,647.473,116.748,0.873,320.882,567.526,过热
1,2024-08-16,41.889,409.565,642.434,32.202,0.966,375.904,704.008,过热
1,2024-08-17,96.67,318.024,587.848,35.098,0.871,451.057,1141.991,过热
1,2024-08-18,500.645,2457.151,2574.671,197.193,7.674,403.887,1193.634,过热
1,2024-08-19,920.979,3626.16,2302.339,230.225,13.249,352.606,1312.019,过热
1,2024-08-20,1365.505,3845.526,3559.395,388.937,7.068,523.039,1131.1,过热
1,2024-08-21,292.127,772.541,581.602,138.75,1.076,389.486,1352.365,过热
1,2024-08-22,394.389,1309.237,1122.294,301.596,0.0,300.145,734.887,过热
1,2024-08-23,398.174,1435.581,2040.97,681.174,0.422,229.152,903.734,过热
1,2024-08-24,254.439,1147.878,2604.415,359.631,2.051,276.635,728.123,过热
1,2024-08-25,585.311,3244.249,5372.382,417.696,2.587,210.975,910.784,过热
1,2024-08-26,249.906,2372.475,1997.948,253.817,1.237,482.425,653.321,过热
1,2024-08-27,861.699,5657.204,4759.223,582.635,5.797,387.979,1064.425,过热
1,2024-08-28,519.938,7554.133,4161.621,565.754,1.939,399.94,1607.576,过热
1,2024-08-29,459.536,5338.507,1834.141,403.705,0.0,252.735,1638.488,过热
1,2024-08-30,1276.907,11646.0,8852.491,3595.844,1.847,224.084,1761.093,过热
1,2024-08-31,0.0,8.808,2.017,1.664,0.0,161.862,938.841,Normal
1,2024-09-01,2.629,49.014,18.117,12.866,0.007,242.021,1504.151,Normal
1,2024-09-02,1.466,30.201,9.456,7.858,0.0,112.65,1651.191,Normal
1,2024-09-03,1.743,37.145,12.649,7.659,0.0,180.617,1161.556,Normal
1,2024-09-04,1.782,30.774,11.117,7.386,0.0,158.684,994.658,Normal
1,2024-09-05,1.351,28.979,10.004,8.996,0.0,149.156,711.023,Normal
1,2024-09-06,1.245,27.556,9.374,7.864,0.0,260.213,1368.263,Normal
1,2024-09-07,1.536,30.579,10.867,9.07,0.0,72.134,1018.267,Normal
1,2024-09-08,1.468,32.135,11.628,7.344,0.0,274.332,1316.561,Normal
1,2024-09-09,1.783,33.124,10.89,8.971,0.0,145.842,1775.712,Normal
1,2024-09-10,0.798,21.118,7.22,5.479,0.0,96.718,857.004,Normal
1,2024-09-11,1.378,37.864,15.111,8.28,0.0,119.309,771.264,Normal
1,2024-09-12,1.461,26.022,9.024,5.996,0.0,181.541,1462.445,Normal
1,2024-09-13,1.607,28.473,10.955,7.194,0.0,157.749,800.966,Normal
1,2024-09-14,1.358,30.769,11.197,7.595,0.0,232.914,1225.238,Normal
1,2024-09-15,1.737,38.278,15.063,7.863,0.0,255.234,904.87,Normal
1,2024-09-16,1.068,24.615,9.014,6.669,0.0,116.339,1056.313,Normal
1,2024-09-17,1.308,36.092,12.645,8.955,0.0,162.003,1023.784,Normal
1,2024-09-18,0.822,20.478,6.556,4.36,0.0,259.295,1235.887,Normal
1,2024-09-19,2.077,37.692,14.026,8.723,0.0,191.013,1029.784,Normal
1,2024-09-20,1.536,31.879,10.442,7.049,0.0,161.638,1365.687,Normal
1,2024-09-21,1.239,28.011,10.621,7.844,0.0,255.035,899.273,Normal
1,2024-09-22,2.096,33.554,12.481,8.522,0.0,77.632,1225.24,Normal
1,2024-09-23,0.961,28.382,11.3,6.444,0.0,144.948,1017.122,Normal
1,2024-09-24,1.849,32.477,12.735,8.031,0.0,171.473,1555.24,Normal
1,2024-09-25,1.281,28.521,9.816,6.675,0.0,201.787,1352.164,Normal
1,2024-09-26,2.031,39.663,13.016,9.726,0.0,156.323,1005.089,Normal
1,2024-09-27,1.892,33.825,11.533,9.427,0.0,79.581,1558.97,Normal
1,2024-09-28,1.418,30.349,9.607,7.361,0.0,250.089,1204.344,Normal
1,2024-09-29,1.359,28.016,8.559,7.419,0.0,84.684,1011.524,Normal
1,2024-09-30,1.173,25.416,9.556,5.381,0.0,240.936,1171.142,Normal
1,2024-10-01,0.883,23.121,9.383,4.825,0.0,98.272,1515.625,Normal
1,2024-10-02,1.41,31.235,11.256,9.808,0.0,204.564,772.087,Normal
1,2024-10-03,1.874,30.848,10.277,7.624,0.0,167.704,1721.888,Normal
1,2024-10-04,1.49,26.561,9.561,7.848,0.0,109.736,1430.92,Normal
1,2024-10-05,1.555,32.901,13.292,8.39,0.0,457.85,1103.792,Normal
1,2024-10-06,1.234,28.88,10.32,6.83,0.0,298.698,1346.804,Normal
1,2024-10-07,1.313,31.19,10.831,7.505,0.0,90.425,1303.371,Normal
1,2024-10-08,2.163,36.711,12.145,8.542,0.0,166.277,1075.527,Normal
1,2024-10-09,1.634,26.66,10.353,7.139,0.0,107.896,1777.813,Normal
1,2024-10-10,1.843,37.504,11.084,9.57,0.0,99.211,1112.801,Normal
1,2024-10-11,1.517,31.367,11.46,7.941,0.0,276.041,563.819,Normal
1,2024-10-12,1.375,28.724,8.753,7.341,0.0,98.86,1544.358,Normal
1,2024-10-13,1.235,26.524,11.129,6.642,0.0,91.818,1912.05,Normal
1,2024-10-14,1.718,32.019,11.358,7.052,0.0,161.697,1044.365,Normal
1,2024-10-15,1.29,27.12,10.275,7.518,0.0,161.551,1432.597,Normal
1,2024-10-16,1.391,36.61,10.879,9.277,0.0,119.69,2144.669,Normal
1,2024-10-17,1.812,34.522,12.248,8.086,0.0,197.701,1579.473,Normal
1,2024-10-18,1.467,27.403,10.441,8.129,0.0,202.872,1065.507,Normal
1,2024-10-19,1.214,26.26,8.162,6.863,0.0,132.425,555.191,Normal
1,2024-10-20,1.177,31.035,10.629,7.74,0.0,281.04,1359.366,Normal
1,2024-10-21,1.631,38.138,14.668,8.458,0.0,129.198,1357.813,Normal
1,2024-10-22,4.697,146.874,84.089,42.325,1.655,98.597,1512.257,放电
1,2024-10-23,21.653,259.673,99.467,31.893,2.891,56.429,1506.691,放电
1,2024-10-24,80.742,438.857,72.332,53.18,7.74,139.824,980.806,放电
1,2024-10-25,70.723,849.598,259.569,117.549,26.45,160.744,1250.626,放电
1,2024-10-26,44.794,722.883,173.335,123.306,34.99,129.248,1236.766,放电
1,2024-10-27,35.359,215.815,87.821,34.62,53.671,88.727,1496.091,放电
1,2024-10-28,18.047,76.975,42.929,47.996,50.232,90.059,1659.707,放电
1,2024-10-29,4.214,26.178,77.028,24.879,64.579,119.602,2019.367,放电
1,2024-10-30,0.894,3.405,24.065,4.642,93.965,111.881,1104.921,放电
1,2024-10-31,0.441,0.0,5.262,1.18,41.024,173.617,1551.755,放电
1,2024-11-01,1.767,0.0,5.248,2.034,65.43,243.45,1088.94,放电
1,2024-11-02,26.903,0.684,27.911,2.616,172.884,392.05,1030.473,放电
1,2024-11-03,76.552,5.034,73.792,21.112,286.236,182.606,848.35,放电
1,2024-11-04,145.518,15.804,76.048,23.712,275.883,157.51,615.271,放电
1,2024-11-05,96.251,9.838,90.448,32.533,269.884,137.587,707.411,放电
1,2024-11-06,57.983,4.25,33.044,12.767,90.714,149.368,935.142,放电
1,2024-11-07,19.723,2.781,25.572,10.832,72.384,90.072,689.382,放电
1,2024-11-08,30.34,11.467,24.068,24.898,181.797,93.151,871.239,放电
1,2024-11-09,23.685,10.64,12.734,4.195,302.568,71.185,808.528,放电
1,2024-11-10,10.618,2.505,5.938,0.983,239.894,94.706,937.281,放电
1,2024-11-11,21.682,17.184,19.115,4.868,798.33,161.049,661.398,放电
1,2024-11-12,24.694,47.019,77.326,12.485,1054.208,140.625,783.216,放电
1,2024-11-13,28.981,47.88,105.1,10.061,1645.865,403.978,515.387,放电
1,2024-11-14,53.392,43.015,158.86,14.829,3242.132,534.184,617.309,放电
1,2024-11-15,172.079,23.062,248.545,24.437,9043.578,289.996,544.66,放电
1,2024-11-16,208.124,33.187,375.362,67.162,2600.287,375.31,615.346,放电
1,2024-11-17,184.284,14.961,257.869,9.596,3893.092,194.932,691.028,放电
1,2024-11-18,0.173,50.643,6.175,9.415,0.0,179.218,838.356,Normal
1,2024-11-19,2.032,36.741,16.02,8.307,0.494,300.557,1800.133,Normal
1,2024-11-20,1.105,35.057,10.005,8.744,0.0,138.649,723.364,Normal
1,2024-11-21,1.504,38.714,11.636,7.623,0.083,190.222,1100.567,Normal
1,2024-11-22,1.3,30.606,8.821,7.743,0.0,124.947,1467.491,Normal
1,2024-11-23,1.268,36.92,11.294,9.534,0.0,97.47,799.204,Normal
1,2024-11-24,1.276,30.974,10.022,7.468,0.112,96.574,1389.269,Normal
1,2024-11-25,1.116,32.746,10.22,6.368,0.0,352.764,1040.256,Normal
1,2024-11-26,1.539,41.808,12.277,9.36,0.0,174.074,1209.129,Normal
1,2024-11-27,1.099,32.974,9.775,7.603,0.0,99.143,1608.763,Normal
1,2024-11-28,1.081,31.128,11.518,8.965,0.0,127.88,989.543,Normal
1,2024-11-29,1.491,37.966,11.036,8.745,0.0,101.644,1094.362,Normal
1,2024-11-30,1.66,34.361,10.49,8.084,0.0,154.855,1844.796,Normal
1,2024-12-01,1.499,34.063,11.107,8.068,0.0,182.747,972.685,Normal
1,2024-12-02,1.651,37.029,10.574,8.547,0.0,233.65,1499.521,Normal
1,2024-12-03,1.892,51.548,13.789,11.034,0.0,114.139,976.412,Normal
1,2024-12-04,1.034,28.224,8.997,6.465,0.0,125.345,2711.26,Normal
1,2024-12-05,1.348,37.182,10.155,10.656,0.0,189.485,713.591,Normal
1,2024-12-06,1.472,33.295,11.86,8.916,0.0,65.808,1028.928,Normal
1,2024-12-07,1.592,43.924,13.799,8.277,0.075,277.908,795.872,Normal
1,2024-12-08,1.361,35.978,10.592,7.375,0.0,129.408,1263.578,Normal
1,2024-12-09,1.249,33.464,10.394,8.917,0.0,146.469,1229.876,Normal
1,2024-12-10,0.927,33.026,10.239,7.765,0.0,82.417,704.773,Normal
1,2024-12-11,1.592,37.993,11.66,8.731,0.003,258.096,1537.504,Normal
1,2024-12-12,1.29,29.085,9.774,8.912,0.0,107.883,1385.174,Normal
1,2024-12-13,1.688,47.243,12.684,9.685,0.054,179.315,868.856,Normal
1,2024-12-14,1.466,37.769,11.722,9.293,0.0,268.292,1011.73,Normal
1,2024-12-15,1.223,34.494,11.356,7.125,0.0,70.766,1265.084,Normal
1,2024-12-16,1.128,32.4,10.499,7.753,0.0,171.784,1439.611,Normal
1,2024-12-17,1.603,36.404,10.853,10.013,0.0,97.351,1396.599,Normal
1,2024-12-18,1.071,37.956,12.563,8.694,0.0,166.49,1413.879,Normal
1,2024-12-19,1.363,35.822,11.558,8.179,0.0,105.308,877.833,Normal
1,2024-12-20,0.93,33.608,11.931,9.39,0.0,228.36,1899.15,Normal
1,2024-12-21,1.372,35.994,9.061,8.518,0.0,162.359,722.866,Normal
1,2024-12-22,1.568,41.999,12.185,8.493,0.0,147.29,1144.825,Normal
1,2024-12-23,0.962,32.467,9.783,7.143,0.0,241.53,1441.28,Normal
1,2024-12-24,1.459,39.061,10.773,9.25,0.0,126.519,1315.115,Normal
1,2024-12-25,1.173,35.309,11.532,6.169,0.051,57.331,1006.219,Normal
1,2024-12-26,1.771,38.773,10.234,8.828,0.0,100.535,1706.437,Normal
1,2024-12-27,1.316,32.082,9.776,7.393,0.0,231.097,707.437,Normal
1,2024-12-28,1.302,33.374,11.529,7.403,0.078,149.097,981.846,Normal
1,2024-12-29,1.229,32.551,8.896,8.325,0.0,75.702,1137.642,Normal
1,2024-12-30,0.958,29.922,8.97,6.783,0.0,192.335,1309.353,Normal
1,2024-12-31,1.016,30.777,9.927,7.05,0.0,101.996,1101.608,Normal
1,2025-01-01,1.315,36.451,10.489,8.543,0.0,136.839,1406.598,Normal
1,2025-01-02,1.488,36.864,10.953,9.656,0.0,150.246,1207.826,Normal
1,2025-01-03,1.925,36.978,12.014,7.56,0.06,287.633,1382.287,Normal
1,2025-01-04,1.355,34.992,10.623,8.676,0.0,130.241,1243.333,Normal
1,2025-01-05,1.195,31.989,8.922,8.257,0.0,183.733,1564.469,Normal
1,2025-01-06,1.469,39.063,12.331,9.007,0.0,346.557,1016.242,Normal
1,2025-01-07,1.201,35.398,10.974,7.311,0.019,134.506,926.003,Normal
1,2025-01-08,1.819,42.848,11.433,12.089,0.0,167.523,1966.873,Normal
1,2025-01-09,4.988,43.013,17.638,16.032,0.0,98.693,2132.397,过热
1,2025-01-10,0.379,18.602,9.38,19.164,0.0,134.481,1758.225,过热
1,2025-01-11,2.533,57.5,24.487,72.264,0.0,153.569,2136.448,过热
1,2025-01-12,11.205,402.381,102.267,86.287,0.0,195.75,2246.239,过热
1,2025-01-13,21.333,248.199,136.4,39.701,0.0,523.897,2261.669,过热
1,2025-01-14,53.994,311.814,78.37,40.68,0.0,263.164,3289.032,过热
1,2025-01-15,91.126,540.863,139.05,63.595,0.539,241.917,3270.347,过热
1,2025-01-16,96.889,434.594,75.508,18.782,0.208,232.418,1985.845,过热
1,2025-01-17,116.401,499.459,39.571,15.218,0.292,252.588,1347.096,过热
1,2025-01-18,159.064,1115.811,175.164,34.712,0.937,189.009,1505.425,过热
1,2025-01-19,213.56,1779.435,373.648,108.783,1.875,244.009,1846.188,过热
1,2025-01-20,121.983,357.225,298.988,69.901,0.0,178.106,2137.505,过热
1,2025-01-21,115.976,263.542,530.513,37.789,0.0,189.284,2182.465,过热
1,2025-01-22,208.515,727.957,1282.544,117.63,0.459,189.081,2056.929,过热
1,2025-01-23,273.114,1363.553,2701.85,199.906,0.59,189.243,1885.129,过热
1,2025-01-24,337.43,5428.295,5785.554,555.175,4.244,191.431,3330.659,过热
1,2025-01-25,254.475,4174.802,3113.199,379.244,3.914,252.111,3120.696,过热
1,2025-01-26,751.575,6273.064,3781.457,3397.994,6.743,182.76,2241.554,过热
1,2025-01-27,318.7,5029.206,2843.115,2223.131,4.329,232.708,1623.215,过热
1,2025-01-28,137.738,2530.942,2444.056,1418.947,1.52,280.285,1268.707,过热
1,2025-01-29,105.645,943.862,2215.681,1115.763,2.732,401.682,2706.817,过热
1,2025-01-30,31.744,242.948,522.282,211.628,0.0,315.278,1723.169,过热
1,2025-01-31,61.337,371.585,907.49,379.575,1.084,249.953,2909.301,过热
1,2025-02-01,98.356,159.529,266.984,83.306,0.808,224.316,2245.552,过热
1,2025-02-02,617.094,866.248,1482.792,170.86,2.858,216.444,2145.217,过热
1,2025-02-03,0.0,13.226,3.631,5.155,0.0,137.67,952.942,Normal
1,2025-02-04,1.4,36.595,14.87,12.382,0.015,264.707,2058.267,Normal
1,2025-02-05,0.508,25.404,10.329,8.473,0.0,86.459,1115.604,Normal
1,2025-02-06,0.674,27.748,10.537,8.297,0.0,193.72,1439.46,Normal
1,2025-02-07,1.343,35.502,14.442,10.534,0.0,274.162,908.898,Normal
1,2025-02-08,0.483,25.057,10.137,7.928,0.0,225.633,1028.824,Normal
1,2025-02-09,0.558,28.6,12.027,8.837,0.0,116.301,1231.23,Normal
1,2025-02-10,1.102,28.695,11.339,10.858,0.0,249.824,873.955,Normal
1,2025-02-11,0.79,30.138,13.155,10.326,0.0,112.327,1340.587,Normal
1,2025-02-12,0.734,29.179,12.246,10.185,0.0,90.298,1047.124,Normal
1,2025-02-13,0.879,26.708,11.334,10.259,0.0,61.007,879.546,Normal
1,2025-02-14,1.208,32.329,10.717,11.871,0.0,291.186,1390.374,Normal
1,2025-02-15,0.799,30.063,13.12,12.22,0.0,81.987,1328.651,Normal
1,2025-02-16,1.036,34.901,12.849,11.758,0.0,461.933,968.222,Normal
1,2025-02-17,0.627,25.654,10.21,7.959,0.0,112.453,1398.641,Normal
1,2025-02-18,0.705,33.649,13.249,11.93,0.0,233.665,1267.997,Normal
1,2025-02-19,1.115,31.27,12.855,10.592,0.0,173.849,2200.707,Normal
1,2025-02-20,0.662,28.626,12.658,10.64,0.0,68.246,1235.352,Normal
1,2025-02-21,0.378,27.299,11.032,9.467,0.0,110.772,1293.354,Normal
1,2025-02-22,0.863,27.563,11.24,12.44,0.0,253.668,1501.833,Normal
1,2025-02-23,1.106,32.101,10.669,9.747,0.0,104.833,1104.354,Normal
1,2025-02-24,0.581,30.403,13.308,10.442,0.0,174.378,1300.132,Normal
1,2025-02-25,0.577,20.886,8.801,8.114,0.0,278.842,1827.783,Normal
1,2025-02-26,0.614,27.167,11.488,11.783,0.0,216.262,1002.447,Normal
1,2025-02-27,0.629,28.952,10.538,8.666,0.0,269.16,1140.653,Normal
1,2025-02-28,0.347,24.433,9.738,8.379,0.0,132.751,1517.756,Normal
